city_enc,district_enc,property_type_enc,area_m2,bedrooms,bathrooms,city_price_median,city_ppm2_median,city_area_median,district_ppm2_median,city_count,ratio_surface_chambres,price_per_m2_city,price_mad,city,district,area_m2,bedrooms,bathrooms,price_mad,latitude,longitude,url
154,400,0,76.0,2.0,1.0,1450000.0,17757.009345794395,83.0,17216.494845360827,1997,38.0,17469.87951807229,1550000.0,marrakech,samlalia,76.0,2.0,1.0,1550000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8317692/appartement-moderne-%C3%A0-vendre-%E2%80%93-quartier-camp-elghoul-victor-hugo
154,183,0,120.0,2.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,60.0,17469.87951807229,2300000.0,marrakech,guéliz,120.0,2.0,2.0,2300000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8301878/appartement-r%C3%A9nov%C3%A9-de-standing-%E2%80%93-r%C3%A9sidence-s%C3%A9curis%C3%A9e-%C3%A0-gu%C3%A9liz-proche-zara
154,252,0,47.0,1.0,1.0,1450000.0,17757.009345794395,83.0,10936.392629340893,1997,47.0,17469.87951807229,705000.0,marrakech,izdihar,47.0,1.0,1.0,705000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8181700/studio-%C3%A0-vendre-%C3%A0-izdihar-marrakech
154,183,0,48.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,48.0,17469.87951807229,1100000.0,marrakech,guéliz,48.0,1.0,1.0,1100000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8150632/studios-de-standing-%C3%A0-vendre-%C3%A0-gueliz
154,183,0,59.0,1.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,59.0,17469.87951807229,1200000.0,marrakech,guéliz,59.0,1.0,2.0,1200000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8298056/cozy-studio-duplex-meubl%C3%A9-%C3%A0-vendre-%C3%A0-victor-hugo
154,372,0,44.0,1.0,1.0,1450000.0,17757.009345794395,83.0,15753.424657534246,1997,44.0,17469.87951807229,669000.0,marrakech,route casablanca,44.0,1.0,1.0,669000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8236569/projet-haut-standing-avec-piscine-route-de-casa
154,372,0,134.0,3.0,3.0,1450000.0,17757.009345794395,83.0,15753.424657534246,1997,44.666666666666664,17469.87951807229,1300000.0,marrakech,route casablanca,134.0,3.0,3.0,1300000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8088657/duplex-de-134-m%C2%B2-bien-agenc%C3%A9-%C3%A0-vendre
154,183,0,92.0,2.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,46.0,17469.87951807229,1750000.0,marrakech,guéliz,92.0,2.0,2.0,1750000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8322343/spacieux-appartement-avec-parking-%C3%A0-vendre
154,183,0,53.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,53.0,17469.87951807229,780000.0,marrakech,guéliz,53.0,1.0,1.0,780000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8278246/2-pi%C3%A8ces-avec-piscine-au-coeur-de-marrakech
154,372,0,131.0,3.0,2.0,1450000.0,17757.009345794395,83.0,15753.424657534246,1997,43.666666666666664,17469.87951807229,1900000.0,marrakech,route casablanca,131.0,3.0,2.0,1900000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/7862940/superbe-appartement-neuf-3-chambres-en-dernier-%C3%A9tage
154,308,0,57.0,2.0,2.0,1450000.0,17757.009345794395,83.0,8032.264162077104,1997,28.5,17469.87951807229,500000.0,marrakech,mhamid,57.0,2.0,2.0,500000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8304905/appartement-%C3%A0-vendre-%C3%A0-mhamid-3-chambres-agr%C3%A9ables
154,289,0,53.0,1.0,2.0,1450000.0,17757.009345794395,83.0,17999.999999999996,1997,53.0,17469.87951807229,954000.0,marrakech,majorelle,53.0,1.0,2.0,954000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8268256/appartement-en-vente-%C3%A0-majorelle-surface-totale-53-m%C2%B2
154,183,0,44.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,44.0,17469.87951807229,648000.0,marrakech,guéliz,44.0,1.0,1.0,648000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8022549/beau-studio-f2
154,51,0,550.0,5.0,4.0,1450000.0,17757.009345794395,83.0,19827.586206896554,1997,110.0,17469.87951807229,1250000.0,marrakech,amelkis,550.0,5.0,4.0,1250000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8302773/amelkis-villa-%C3%A0-vendre-5-ch-piscine-chauff%C3%A9e
154,51,0,320.0,5.0,5.0,1450000.0,17757.009345794395,83.0,19827.586206896554,1997,64.0,17469.87951807229,1090000.0,marrakech,amelkis,320.0,5.0,5.0,1090000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8220823/amelkis-1-villa-neuve-%C3%A0-vendre-en-5-chs-piscine
154,168,0,240.0,2.0,2.0,1450000.0,17757.009345794395,83.0,16666.666666666664,1997,120.0,17469.87951807229,2700000.0,marrakech,ennakhil (palmeraie),240.0,2.0,2.0,2700000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8326217/appartement-%C3%A0-vendre-%C3%A0-agdal-marrakech
154,372,0,75.0,2.0,1.0,1450000.0,17757.009345794395,83.0,15753.424657534246,1997,37.5,17469.87951807229,1250000.0,marrakech,route casablanca,75.0,2.0,1.0,1250000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8265473/appartement-a-vendre-%C3%A0-janat-zaytoune-c%C3%B4t%C3%A9-grand-stade
154,183,0,65.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,65.0,17469.87951807229,1675000.0,marrakech,guéliz,65.0,1.0,1.0,1675000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/7915633/superbe-appartement-%C3%A0-vendre-%C3%A0-gu%C3%A9liz-surface-de-65-m%C2%B2
154,183,0,54.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,54.0,17469.87951807229,940000.0,marrakech,guéliz,54.0,1.0,1.0,940000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8257822/florea-gueliz-projet-sur-plan-livraison-d%C3%A9but-2028
154,183,0,134.0,3.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,44.666666666666664,17469.87951807229,2680000.0,marrakech,guéliz,134.0,3.0,2.0,2680000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8293051/bel-appartement-%C3%A0-vendre-%C3%A0-route-casablanca-superficie-134-m%C2%B2
154,289,0,86.0,2.0,2.0,1450000.0,17757.009345794395,83.0,17999.999999999996,1997,43.0,17469.87951807229,1634000.0,marrakech,majorelle,86.0,2.0,2.0,1634000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8268251/vend-appartement-%C3%A0-majorelle-superficie-86-m%C2%B2
154,308,0,97.0,4.0,2.0,1450000.0,17757.009345794395,83.0,8032.264162077104,1997,24.25,17469.87951807229,857800.0,marrakech,mhamid,97.0,4.0,2.0,857800.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8304913/bel-appartement-%C3%A0-vendre-%C3%A0-mhamid-superficie-97-m%C2%B2
154,371,0,138.0,3.0,1.0,1450000.0,17757.009345794395,83.0,23369.25287356322,1997,46.0,17469.87951807229,2000000.0,marrakech,route amizmiz,138.0,3.0,1.0,2000000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8325788/appartement-%C3%A0-vendre
154,245,0,153.0,3.0,1.0,1450000.0,17757.009345794395,83.0,24000.0,1997,51.0,17469.87951807229,3100000.0,marrakech,hivernage,153.0,3.0,1.0,3100000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8271984/appartement-%C3%A0-vendre
154,183,0,135.0,2.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,67.5,17469.87951807229,2750000.0,marrakech,guéliz,135.0,2.0,2.0,2750000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8328522/appartement-en-vente-%C3%A0-gu%C3%A9liz-superficie-135-m%C2%B2-meubl%C3%A9
154,243,0,138.0,2.0,2.0,1450000.0,17757.009345794395,83.0,12143.51851851852,1997,69.0,17469.87951807229,3500000.0,marrakech,hay yasmina,138.0,2.0,2.0,3500000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8273125/superbe-appartement-dernier-%C3%A9tage-%C3%A0-vendre
154,168,0,144.0,2.0,1.0,1450000.0,17757.009345794395,83.0,16666.666666666664,1997,72.0,17469.87951807229,2625000.0,marrakech,ennakhil (palmeraie),144.0,2.0,1.0,2625000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8315249/appartement-2-chambres-palmeraie-golf-144m%C2%B2
154,183,0,49.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,49.0,17469.87951807229,1100000.0,marrakech,guéliz,49.0,1.0,1.0,1100000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8297372/id%C3%A9al-investisseur-appartement-1ch-salon
